Precursor Mz,Average Measured Retention Time
721.377351,72.7
848.460558,72.7
836.467426,72.7
836.422487,72.7
595.998146,72.7
722.335546,72.7
805.400835,72.7
727.696309,72.7
724.709896,72.7
689.329738,72.7
556.634539,72.7
771.430312,72.71
821.927405,72.71
979.012532,72.71
513.84971,72.71
1000.976678,72.71
1002.456741,72.71
947.022034,72.71
691.340966,72.71
584.31148,72.71
625.84823,72.71
730.714469,72.71
952.815357,72.71
823.44342,72.72
703.378475,72.72
718.39521,72.72
712.028276,72.72
716.382942,72.72
918.444824,72.72
719.350811,72.72
786.417402,72.72
926.117943,72.72
785.391443,72.72
599.303952,72.72
759.062092,72.73
647.873913,72.73
677.052868,72.73
713.017606,72.73
886.801048,72.73
829.066519,72.73
660.673945,72.73
764.932688,72.73
913.782448,72.73
704.363771,72.73
769.070481,72.73
503.62565,72.74
725.387916,72.74
890.06328,72.74
496.61341,72.74
839.750465,72.74
736.900137,72.74
693.405578,72.74
822.356064,72.74
742.718503,72.74
807.395799,72.74
856.477459,72.74
657.00224,72.74
870.953097,72.74
987.97255,72.75
549.355691,72.75
950.748862,72.75
756.37808,72.75
957.851185,72.75
704.385853,72.75
953.799156,72.75
957.482553,72.75
702.719554,72.75
572.295299,72.75
692.336059,72.75
786.756557,72.76
514.817887,72.76
652.820824,72.76
795.430312,72.76
767.360754,72.76
712.84757,72.77
463.592563,72.77
654.822212,72.77
632.868631,72.77
777.448505,72.77
751.404098,72.77
833.731748,72.77
664.677472,72.77
815.348239,72.77
722.379421,72.77
836.084462,72.77
808.37172,72.77
847.937782,72.77
875.775845,72.78
869.766793,72.78
732.879401,72.78
639.003514,72.78
870.073162,72.78
865.468915,72.78
941.454154,72.78
620.299921,72.78
691.000386,72.78
671.372266,72.78
426.260531,72.79
853.125532,72.79
723.695186,72.79
951.136713,72.79
697.334824,72.79
610.295535,72.79
503.789652,72.79
818.381607,72.79
503.320785,72.79
818.065284,72.79
747.371215,72.79
509.251155,72.79
785.417205,72.79
500.266016,72.8
790.40938,72.8
519.820952,72.8
655.339046,72.8
829.053557,72.8
860.816698,72.8
462.289288,72.8
462.810053,72.8
799.445431,72.8
751.921926,72.8
754.032027,72.8
882.44953,72.81
881.785286,72.81
725.364638,72.81
724.723076,72.81
858.906147,72.81
821.425147,72.81
675.384122,72.81
558.31772,72.81
558.31772,72.81
851.916841,72.81
675.32987,72.81
735.410868,72.82
797.053267,72.82
735.047788,72.82
837.391904,72.82
735.368866,72.82
569.31158,72.82
928.458941,72.82
697.869359,72.82
890.773336,72.82
890.724605,72.82
755.691224,72.82
697.851166,72.82
550.830463,72.82
583.661311,72.82
582.824223,72.82
950.52293,72.82
696.339514,72.82
592.992949,72.82
966.498726,72.83
738.83941,72.83
739.440483,72.83
780.372463,72.83
779.93797,72.83
784.947087,72.83
608.848427,72.83
787.409268,72.83
511.260728,72.83
517.650746,72.83
520.263999,72.83
648.643769,72.83
645.796491,72.83
714.365334,72.83
521.59653,72.83
651.35818,72.83
768.064445,72.84
445.770928,72.84
804.477597,72.84
757.396469,72.84
714.010451,72.84
886.434482,72.84
887.425831,72.84
662.354329,72.84
701.02135,72.84
782.048577,72.84
752.90393,72.84
726.039287,72.84
907.428164,72.84
